name,cohort_id,cohort_entries,cohort_subjects,database_id
Heart failure during hospitalization,159,107,74,PREMIER
Cardiac arrhythmia during hospitalization,160,66,42,PREMIER
Bradycardia or heart block during hospitalization,161,14,12,PREMIER
Supraventricular arrythymia during hospitalization,162,35,20,PREMIER
ventricular arrhythmia or cardiac arrest during hospitalization,163,7,7,PREMIER
death,164,13,13,PREMIER
Stillbirth,165,NA,NA,NA
Livebirth Delivery,166,NA,NA,NA
Livebirth Preterm Delivery,167,NA,NA,NA
Livebirth Post term Delivery,168,NA,NA,NA
Livebirth excluding preterm and post term delivery,169,NA,NA,NA
Abortion,170,19,7,PREMIER
Premature Rupture of Membranes,171,18,17,PREMIER
Fetal growth restriction,172,5,-5,PREMIER
Cesarean section,173,NA,NA,NA
Hospitalization for Asthma,174,-5,-5,PREMIER
Hospitalization for COPD,175,5,-5,PREMIER
Pneumonia episodes,176,327,143,PREMIER
intensive services during hospitalization,177,63,56,PREMIER
mechanical ventilation during hospitalization,178,778,326,PREMIER
tracheostomy during hospitalization,179,NA,NA,NA
ECMO during hospitalization,180,NA,NA,NA
dialysis during hospitalization,181,503,160,PREMIER
Persons with chest pain or angina,182,140,140,PREMIER
Angina during hospitalization,183,63,35,PREMIER
Persons with hepatic failure,184,13,13,PREMIER
Acute pancreatitis events,185,12,9,PREMIER
Total cardiovascular disease events,186,214,153,PREMIER
Gastrointestinal bleeding events,187,44,32,PREMIER
Cardiovascular-related mortality,188,-5,-5,PREMIER
Transient ischemic attack events,189,26,19,PREMIER
Stroke (ischemic or hemorrhagic) events,190,107,81,PREMIER
Ischemic stroke events,191,74,53,PREMIER
Hemorrhagic stroke (intracerebral bleeding) events,192,17,13,PREMIER
Acute myocardial infarction events,193,38,29,PREMIER
Bleeding during hospitalization,194,131,94,PREMIER
Incident depression with no prior treatment and no mania/psychoses,195,17,17,PREMIER
Hospitalization for psychosis,196,NA,NA,NA
Suicide and suicidal ideation,197,NA,NA,NA
Multi-system inflammatory syndrome (Kawasaki disease or toxic shock syndrome),198,NA,NA,NA
Acute kidney injury (AKI) using diagnosis codes and change in measurements during hospitlization,201,225,225,PREMIER
Discharge from hospitalization,202,2320,607,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up,111000011,7,7,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up,112000011,8,8,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Full 30-day follow up,113000011,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Full 30-day follow up,114000011,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Full 30-day follow up,115000011,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Full 30-day follow up,116000011,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Full 30-day follow up,126000011,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Full 30-day follow up,127000011,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Full 30-day follow up,128000011,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Full 30-day follow up,129000011,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up,130000011,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up,131000011,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up,132000011,159,159,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up,133000011,162,162,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up,134000011,12,12,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up,135000011,14,14,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up,136000011,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up,137000011,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up,138000011,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up,139000011,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Full 30-day follow up,140000011,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Full 30-day follow up,141000011,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with < 30-day follow up,111000021,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with < 30-day follow up,112000021,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with < 30-day follow up,113000021,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with < 30-day follow up,114000021,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with < 30-day follow up,115000021,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with < 30-day follow up,116000021,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with < 30-day follow up,126000021,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with < 30-day follow up,127000021,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with < 30-day follow up,128000021,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with < 30-day follow up,129000021,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,130000021,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,131000021,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,132000021,213,213,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,133000021,397,397,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,134000021,18,18,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,135000021,32,32,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,136000021,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,137000021,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,138000021,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,139000021,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,140000021,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,141000021,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Female,111000031,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Female,112000031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Female,113000031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Female,114000031,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Sex = Female,115000031,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Sex = Female,116000031,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Female,126000031,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Sex = Female,127000031,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Sex = Female,128000031,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Sex = Female,129000031,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,130000031,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,131000031,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,132000031,207,207,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,133000031,314,314,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,134000031,12,12,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,135000031,19,19,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,136000031,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,137000031,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,138000031,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Sex = Female,139000031,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,140000031,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Sex = Female,141000031,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male,111000041,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male,112000041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male,113000041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male,114000041,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Sex = Male,115000041,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Sex = Male,116000041,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Male,126000041,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Sex = Male,127000041,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Sex = Male,128000041,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Sex = Male,129000041,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,130000041,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,131000041,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,132000041,165,165,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,133000041,245,245,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,134000041,18,18,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,135000041,27,27,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,136000041,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,137000041,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,138000041,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Sex = Male,139000041,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,140000041,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Sex = Male,141000041,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 18,111000051,6,6,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 18,112000051,7,7,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 18,113000051,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 18,114000051,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Age >= 18,115000051,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Age >= 18,116000051,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Age >= 18,126000051,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Age >= 18,127000051,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Age >= 18,128000051,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Age >= 18,129000051,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,130000051,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,131000051,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,132000051,368,368,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,133000051,552,552,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,134000051,30,30,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,135000051,46,46,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,136000051,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,137000051,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,138000051,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Age >= 18,139000051,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,140000051,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Age >= 18,141000051,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age < 18,111000061,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age < 18,112000061,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age < 18,113000061,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age < 18,114000061,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Age < 18,115000061,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Age < 18,116000061,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Age < 18,126000061,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Age < 18,127000061,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Age < 18,128000061,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Age < 18,129000061,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,130000061,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 18,131000061,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,132000061,-5,-5,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age < 18,133000061,7,7,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,134000061,NA,NA,NA
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 18,135000061,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,136000061,NA,NA,NA
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 18,137000061,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,138000061,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Age < 18,139000061,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,140000061,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Age < 18,141000061,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 65,111000071,-5,-5,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 65,112000071,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 65,113000071,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 65,114000071,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Age >= 65,115000071,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Age >= 65,116000071,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Age >= 65,126000071,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Age >= 65,127000071,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Age >= 65,128000071,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Age >= 65,129000071,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,130000071,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,131000071,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,132000071,78,78,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,133000071,98,98,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,134000071,10,10,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,135000071,21,21,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,136000071,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,137000071,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,138000071,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Age >= 65,139000071,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,140000071,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with no required prior observation with Age >= 65,141000071,NA,NA,NA
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age < 65,111000081,6,6,PREMIER
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age < 65,112000081,7,7,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age < 65,113000081,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age < 65,114000081,-5,-5,PREMIER
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with at least 365d prior observation with Age < 65,115000081,NA,NA,NA
Persons hospitalized with influenza diagnosis or positive test and requiring intensive services 2017-2018 with no required prior observation with Age < 65,116000081,NA,NA,NA
Persons tested for SARS-CoV-2 with at least 365d prior observation with Age < 65,126000081,NA,NA,NA
Persons tested for SARS-CoV-2 with no required prior observation with Age < 65,127000081,NA,NA,NA
Persons tested positive for SARS-CoV-2 with at least 365d prior observation with Age < 65,128000081,NA,NA,NA
Persons tested positive for SARS-CoV-2 with no required prior observation with Age < 65,129000081,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,130000081,NA,NA,NA
Persons tested with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 65,131000081,NA,NA,NA
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,132000081,294,294,PREMIER
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age < 65,133000081,461,461,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,134000081,20,20,PREMIER
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 65,135000081,25,25,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,136000081,-5,-5,PREMIER
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 65,137000081,-5,-5,PREMIER
Persons hospitalized with a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,138000081,NA,NA,NA
Persons hospitalized with a SARS-CoV-2 positive test with no required prior observation with Age < 65,139000081,NA,NA,NA
Persons hospitalized and requiring intensive services with a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,140000081,NA,NA,NA
