cohort_name,cohort_full_name,cohort_id,cohort_type
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with < 30-day follow up,136000021,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with < 30-day follow up,137000021,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Female,Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Female,126000031,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Sex = Female,Persons tested for SARS-CoV-2 with no required prior observation with Sex = Female,127000031,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,132000031,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,133000031,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Female,134000031,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,135000031,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Female,137000031,TwS
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male,111000041,TwS
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male,112000041,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Sex = Male,113000041,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Sex = Male,114000041,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Male,Persons tested for SARS-CoV-2 with at least 365d prior observation with Sex = Male,126000041,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Sex = Male,Persons tested for SARS-CoV-2 with no required prior observation with Sex = Male,127000041,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,132000041,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,133000041,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,134000041,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,135000041,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Sex = Male,136000041,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Sex = Male,137000041,TwS
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 18,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 18,111000051,TwS
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 18,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 18,112000051,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 18,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 18,113000051,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 18,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 18,114000051,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with Age >= 18,Persons tested for SARS-CoV-2 with at least 365d prior observation with Age >= 18,126000051,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Age >= 18,Persons tested for SARS-CoV-2 with no required prior observation with Age >= 18,127000051,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,132000051,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,133000051,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,134000051,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,135000051,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 18,136000051,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 18,137000051,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,132000061,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age < 18,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age < 18,133000061,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 18,134000061,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 18,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 18,135000061,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 18,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 18,137000061,TwS
Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 65,Persons with Influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 65,111000071,TwS
Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 65,Persons with Influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 65,112000071,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 65,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with at least 365d prior observation with Age >= 65,113000071,TwS
Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 65,Persons hospitalized with influenza diagnosis or positive test 2017-2018 with no required prior observation with Age >= 65,114000071,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with Age >= 65,Persons tested for SARS-CoV-2 with at least 365d prior observation with Age >= 65,126000071,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Age >= 65,Persons tested for SARS-CoV-2 with no required prior observation with Age >= 65,127000071,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,132000071,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,133000071,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,134000071,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,135000071,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age >= 65,136000071,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age >= 65,137000071,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with Age < 65,Persons tested for SARS-CoV-2 with at least 365d prior observation with Age < 65,126000081,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Age < 65,Persons tested for SARS-CoV-2 with no required prior observation with Age < 65,127000081,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,132000081,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age < 65,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Age < 65,133000081,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Age < 65,134000081,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 65,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 65,135000081,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 65,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Age < 65,137000081,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Index date: Jan 2020,Persons tested for SARS-CoV-2 with no required prior observation with Index date: Jan 2020,127000111,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: Feb 2020,Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: Feb 2020,126000121,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Index date: Feb 2020,Persons tested for SARS-CoV-2 with no required prior observation with Index date: Feb 2020,127000121,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: Feb 2020,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: Feb 2020,133000121,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Feb 2020,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Feb 2020,134000121,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Feb 2020,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Feb 2020,135000121,TwS
Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: Mar 2020,Persons tested for SARS-CoV-2 with at least 365d prior observation with Index date: Mar 2020,126000131,TwS
Persons tested for SARS-CoV-2 with no required prior observation with Index date: Mar 2020,Persons tested for SARS-CoV-2 with no required prior observation with Index date: Mar 2020,127000131,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Mar 2020,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Mar 2020,132000131,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: Mar 2020,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with Index date: Mar 2020,133000131,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Mar 2020,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Mar 2020,134000131,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Mar 2020,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Mar 2020,135000131,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Mar 2020,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with at least 365d prior observation with Index date: Mar 2020,136000131,TwS
Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Mar 2020,Persons hospitalized and requiring intensive services with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with Index date: Mar 2020,137000131,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent Type 2 Diabetes Mellitus,133001001,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent hypertension,133001011,TwS
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,127001051,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,132001051,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,133001051,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,135001051,TwS
Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,Persons tested for SARS-CoV-2 with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,127001251,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation with  Prevalent pre-existing condition of COVID risk factor,132001251,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,133001251,TwS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation with  Prevalent pre-existing condition of COVID risk factor,135001251,TwS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent Type 2 Diabetes Mellitus,133001002,TwoS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent hypertension,133001012,TwoS
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,127001052,TwoS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,132001052,TwoS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,133001052,TwoS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent malignant neoplasm excluding non-melanoma skin cancer,135001052,TwoS
Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,Persons tested for SARS-CoV-2 with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,127001252,TwoS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with at least 365d prior observation without  with  Prevalent pre-existing condition of COVID risk factor,132001252,TwoS
Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,Persons with a COVID-19 diagnosis or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,133001252,TwoS
Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,Persons hospitalized with a COVID-19 diagnosis record or a SARS-CoV-2 positive test with no required prior observation without  with  Prevalent pre-existing condition of COVID risk factor,135001252,TwoS
